x,y,d
78.3820681736,135.302138482,-5850
77.1931380442,135.694228963,-5900
78.4813186989,135.269407218,-5900
74.5194489659,136.575969621,-5500
74.8823627481,136.456286357,-5500
74.2470252706,136.665810677,-5550
75.1086950859,136.381645507,-5550
74.0848293795,136.719300334,-5600
75.2171233033,136.345887584,-5600
73.9406457346,136.766849835,-5650
75.3111463044,136.314880275,-5650
81.3158214936,134.334632722,-5700
81.3464630577,134.324527615,-5700
81.0761578937,134.413670012,-5750
81.5394666486,134.260878063,-5750
80.9885732362,134.442554057,-5800
81.6304092161,134.230886633,-5800
80.7167420386,134.532199715,-5950
81.8824728242,134.147760014,-5950
80.9000216486,134.471756979,-5850
81.7159073892,134.202690678,-5850
80.8152910652,134.499699795,-5900
81.7988178472,134.175348112,-5900
77.7026332912,135.526205434,-5650
78.0242694661,135.420134875,-5650
93.6158861414,130.278264615,-5900
95.4623226171,129.66933887,-5900
93.9409015742,130.171079631,-5800
95.3351552313,129.711276677,-5800
93.7574891089,130.231566181,-5850
95.3985171949,129.690380896,-5850
91.9051167297,130.842449494,-6000
92.1275979028,130.769078698,-6000
92.5324551921,130.635563123,-5950
92.8270783548,130.538401032,-5950
93.4592005259,130.32993707,-5950
95.5523892848,129.639636298,-5950
12.0735229581,157.169655093,-3800
14.3079059396,156.432790684,-3800
16.2237654526,155.800970312,-3800
19.6033903919,154.686423095,-3800
21.8967832021,153.930098172,-3800
26.8514704322,152.296120154,-3800
12.0440838876,157.179363636,-3750
14.3620888474,156.414922012,-3750
16.1637815645,155.820752056,-3750
19.6780886209,154.661788793,-3750
20.1241917534,154.514670987,-3750
20.4823750604,154.396547759,-3750
21.8514215011,153.945057748,-3750
26.8900046655,152.283412169,-3750
11.9874494391,157.198040787,-3650
14.4676757676,156.380101104,-3650
16.0425197111,155.86074231,-3650
20.8315705309,154.281388578,-3650
21.7548837776,153.976894373,-3650
26.9666724161,152.258128349,-3650
12.0145808584,157.189093271,-3700
14.4162694029,156.397054116,-3700
16.1034766614,155.840639666,-3700
19.7767415442,154.629254608,-3700
19.983263016,154.561147071,-3700
20.6785643651,154.331847608,-3700
21.8053327687,153.960257088,-3700
26.928538258,152.270704395,-3700
12.102921267,157.159959992,-3850
14.2485359108,156.452369987,-3850
16.2887345003,155.77954454,-3850
19.5417604206,154.706747692,-3850
21.9419001846,153.9152193,-3850
25.872113811,152.619096583,-3850
26.0751040261,152.552153599,-3850
26.7861108133,152.317674729,-3850
16.3693224453,155.752967902,-3900
19.4814235743,154.726645836,-3900
22.0002305339,153.895982867,-3900
25.8022329074,152.642142208,-3900
26.2036416786,152.5097639,-3900
26.722163507,152.338763547,-3900
12.570939648,157.005614882,-4300
13.0994089025,156.831334023,-4300
12.4637660222,157.04095906,-4250
13.2882284211,156.769064312,-4250
3.74107134637,159.917566745,-2650
4.32071906869,159.726408031,-2650
3.98869590926,159.835904054,-2350
4.07932434036,159.806016221,-2350
3.94770187378,159.849423243,-2400
4.18410214785,159.771462146,-2400
3.89460607626,159.866933403,-2450
4.21198013655,159.762268423,-2450
3.8329497087,159.887266704,-2500
4.23901799415,159.753351762,-2500
3.80207097685,159.897450025,-2550
4.2660551728,159.744435325,-2550
3.77239583719,159.90723642,-2600
4.29309167261,159.735519113,-2600
8.51167330834,158.344297156,-2350
11.3143510872,157.42001805,-2350
