ELEV,x2,y
-2300,35.5096308377,140.915971363
-2300,38.7958442992,141.045445245
-2350,35.4559325873,140.9138557
-2350,38.8541824636,141.047743717
-2400,35.40217445,140.911737677
-2400,38.9152274883,141.050148837
-2600,35.0723034386,140.898741053
-2600,39.209797586,141.061754636
-2150,35.6568845836,140.921773029
-2150,38.6442867103,141.039474011
-2200,35.6091126831,140.919890859
-2200,38.6885047686,141.041216164
-2500,35.2618657666,140.90620964
-2500,39.0512760845,141.05550903
-2250,35.561140699,140.918000806
-2250,38.7374806449,141.043145769
-2550,35.1829542738,140.903100597
-2550,39.1286346956,141.058556891
-3300,26.8427452707,140.574503793
-3300,27.1904882584,140.588204557
-3350,26.8124031916,140.573308342
-3350,27.2514831621,140.590607702
-3500,26.7250557575,140.569866931
-3500,27.5818215465,140.60362274
-3450,26.7520225365,140.570929398
-3450,27.4195664527,140.597230034
-3400,26.7821624341,140.572116884
-3400,27.334999568,140.593898174
-3550,26.6977303277,140.568790334
-3550,27.946673742,140.617997592
-3600,26.6704798686,140.56771669
-3600,28.0734500106,140.622992464
-3800,28.5878384898,140.643258911
-3800,28.7776695213,140.650738085
-3550,23.5374541015,140.444278266
-3550,24.7798176373,140.493226283
-3350,24.1764984696,140.469456045
-3350,24.6213278846,140.486981928
-3250,24.2831786253,140.473659148
-3250,24.52712621,140.483270465
-3300,24.2239748256,140.471326571
-3300,24.5761419699,140.485201643
-3400,21.7707382624,140.374671236
-3400,21.8112214047,140.376266236
-4300,22.3266056585,140.396571916
-4300,22.5218558937,140.404264602
-3550,21.6008573115,140.367978078
-3550,21.9958150822,140.383539062
-3500,21.6584394509,140.370246763
-3500,21.9740689987,140.382682286
-3450,21.7152358866,140.372484492
-3450,21.9505248255,140.381754667
-3600,21.5597574366,140.36635878
-3600,22.0174970804,140.384393314
-3650,21.5180739482,140.364716487
-3650,22.0391152963,140.385245052
-4050,25.8230470106,140.53432859
-4050,25.8956777306,140.537190176
-3250,26.8734784325,140.575714653
-3250,27.1244138461,140.585601284
-3750,23.2846855393,140.43431941
-3750,25.4294713821,140.518822061
-3700,23.3234904048,140.435848287
-3700,25.372024089,140.516558689
-3150,24.4230186293,140.47916872
-3150,24.4300977146,140.479447629
-3400,24.1279905093,140.467544874
-3400,24.6610783046,140.488548059
-3500,23.8984648372,140.458501767
-3500,24.7406579502,140.491683426
-3450,24.0790383618,140.465616203
-3450,24.7010861798,140.490124333
-3200,24.3521593096,140.476376925
-3200,24.4783995622,140.481350679
-2000,35.8029803834,140.927529074
-2000,38.5155740418,141.034402847
-2050,35.753274606,140.92557071
-2050,38.5560138904,141.035996141
-2100,35.7044578058,140.923647372
-2100,38.5999562755,141.037727432
-2450,35.3396572122,140.909274554
-2450,38.9833429987,141.052832527
-1650,36.1002665851,140.939241885
-1650,38.2767858881,141.024994807
-1700,36.0681111153,140.937974988
-1700,38.3048087795,141.026098883
-1750,36.0265051456,140.93633575
-1750,38.3328229335,141.027202616
-1800,35.9848867971,140.934696024
-1800,38.3608639372,141.028307407
-1850,35.9432560554,140.93305581
-1850,38.3979994561,141.029770513
-1900,35.9016083462,140.931414928
-1900,38.4371912578,141.031314635
-1950,35.8526931342,140.929487712
-1950,38.4763827863,141.032858746
-1300,36.30191204,140.947186536
-1300,38.1044129754,141.018203467
-1350,36.2778748419,140.946239492
-1350,38.1263956756,141.019069566
-1400,36.2538660256,140.945293566
-1400,38.1483870872,141.019936008
-1450,36.2239321011,140.944114196
-1450,38.1703872123,141.020802793
-1500,36.1929427683,140.942893244
-1500,38.1927935336,141.021685583
-1550,36.1620021312,140.941674211
-1550,38.22071386,141.022785619
-1600,36.1311101001,140.940457092
-1600,38.248754251,141.023890385
-950,36.4648373455,140.953605648
-950,37.9553660574,141.012331152
-1000,36.4439988417,140.95278463
-1000,37.975695253,141.013132104
-1050,36.4222246311,140.951926745
-1050,37.9960332337,141.013933402
-1100,36.3983454309,140.950985926
-1100,38.0164603942,141.014738214
-1150,36.3741943152,140.950034394
-1150,38.0385171242,141.01560723
-1200,36.3500717376,140.949083986
-1200,38.0604737017,141.016472299
-1250,36.3259776588,140.9481347
-1250,38.0824389847,141.017337712
-600,36.6117921881,140.959395538
-600,37.8091002844,141.00656841
-650,36.5898781366,140.958532144
