x,y,ELEV
36.3969761079,144.379999645,-1600
37.7562545315,144.237866965,-1600
36.4177885468,144.377823396,-1550
37.7227907655,144.241366097,-1550
36.4386560492,144.37564139,-1500
37.6904369968,144.244749162,-1500
36.4595788424,144.373453602,-1450
37.6602896987,144.247901509,-1450
36.591600885,144.359648744,-1150
37.4804889292,144.266702341,-1150
36.6141517579,144.357290716,-1100
37.4508447308,144.26980208,-1100
36.6368231121,144.35492009,-1050
37.4212001657,144.272901859,-1050
36.2621689484,144.394095729,-1900
37.9950180049,144.212900709,-1900
36.2880235245,144.39139225,-1850
37.947902817,144.2178273,-1850
36.3138697677,144.388689643,-1800
37.9034302298,144.222477567,-1800
8.33247797574,147.314558352,-2050
10.4845263597,147.089529838,-2050
8.17611757717,147.330908146,-2150
10.5421990852,147.083499301,-2150
8.2577935753,147.322367712,-2100
10.5133898566,147.086511732,-2100
6.8916662441,147.465216547,-2250
7.69748566784,147.380956198,-2250
7.97011831644,147.352448418,-2250
10.5982877436,147.077634401,-2250
8.49011776604,147.298074779,-1950
9.29700494999,147.21370278,-1950
9.51370655108,147.191043419,-1950
10.4266359997,147.095583132,-1950
8.55702709147,147.291078418,-1900
9.22947815137,147.220763706,-1900
9.60107001908,147.181908276,-1900
10.3976221023,147.098616964,-1900
8.4064214164,147.306826471,-2000
10.4556084542,147.092553633,-2000
9.70030458056,147.171531833,-1850
10.3225601423,147.106465803,-1850
9.82975256139,147.157996131,-1800
10.2355797293,147.115560893,-1800
8.09750702622,147.339128043,-2200
10.5708446165,147.080503986,-2200
6.76644412227,147.478310373,-2400
10.6807323908,147.069013593,-2400
6.82003723142,147.47270642,-2350
10.653231606,147.071889207,-2350
6.8607178736,147.468452657,-2300
10.6257500652,147.074762809,-2300
7.13202248545,147.440083744,-1900
7.28046331317,147.424562058,-1900
7.09608814627,147.443841211,-1950
7.34632204292,147.417675553,-1950
7.06015433512,147.447598623,-2000
7.40098467582,147.411959765,-2000
7.01436198749,147.45238689,-2050
7.44054780144,147.407822855,-2050
6.98384584513,147.455577805,-2100
7.48011012133,147.403686029,-2100
6.9533298514,147.458768704,-2150
7.53759927242,147.397674687,-2150
6.92281400624,147.461959587,-2200
7.61070401696,147.390030504,-2200
7.16795735274,147.436326221,-1850
7.23349113253,147.429473695,-1850
8.78487003332,147.267254066,-1750
9.01558847183,147.243129038,-1750
8.70695147504,147.275401605,-1800
9.0887601767,147.235477853,-1800
8.62385328977,147.28409075,-1850
9.15973434851,147.228056453,-1850
56.8376543619,142.242624158,-5400
64.8002730677,141.410014505,-5400
76.0573610654,140.232919321,-5400
56.8678439907,142.239467386,-5450
64.7521427072,141.415047247,-5450
76.2098939284,140.216969752,-5450
56.6357177766,142.263739618,-5050
56.6637446187,142.260808996,-5100
56.6917717449,142.257878345,-5150
56.7197994961,142.254947629,-5200
56.7478275684,142.252016879,-5250
64.9304853237,141.396398886,-5250
75.7665837134,140.263324397,-5250
56.7772046882,142.248945067,-5300
64.8876889348,141.400873882,-5300
75.839718088,140.255677116,-5300
56.8074508734,142.24578238,-5350
64.8441439188,141.405427158,-5350
