d,long,lat
-4450,122.422668012,67.7499766014
-5350,123.171767838,66.4618619022
-5350,122.181676791,68.1643730864
-4400,122.952937062,66.83815239
-4400,122.440843721,67.7187225597
-4800,123.0415276,66.6858165199
-4800,122.32275892,67.9217752944
-5000,123.086704944,66.6081318115
-5000,122.269266543,68.0137581173
-4950,123.07531037,66.6277253541
-4950,122.28327321,67.9896729516
-4750,123.03048636,66.7048024856
-4750,122.33476446,67.9011311656
-4700,123.019607756,66.72350879
-4700,122.34677008,67.8804869001
-5250,123.146599885,66.5051394582
-5250,122.207101203,68.1206545355
-4650,123.00872919,66.7422150295
-4650,122.35877578,67.8598424978
-4850,123.052711845,66.6665846499
-4850,122.310752439,67.9424210401
-5150,123.12167263,66.548003124
-5150,122.235311307,68.0721458478
-5100,123.109494216,66.5689445173
-5100,122.247827939,68.050622871
-5200,123.134136228,66.5265713422
-5200,122.221555184,68.0958001906
-4900,123.063949934,66.6472601924
-4900,122.297279987,67.9655875966
-5050,123.09809956,66.5885381993
-5050,122.257641064,68.0337487117
-5700,125.279382772,62.837712378
-5700,125.108580323,63.13141575
-5800,123.90721916,65.1972164891
-5800,123.358897539,66.140083001
-5850,123.721080932,65.5172905029
-5850,123.420236035,66.0346083823
-5150,136.534107549,43.4846489717
-5150,133.836869483,48.1226850265
-5200,136.543890914,43.4678259849
-5200,133.814023915,48.1619691256
-5250,136.554081619,43.4503025563
-5250,133.790192841,48.2029478524
-4800,136.473822101,43.5883128212
-4800,134.147762021,47.5880897249
-4850,136.482414355,43.5735380098
-4850,134.05457226,47.7483341903
-4900,136.491006653,43.5587631222
-4900,133.995626281,47.8496947559
-4950,136.499598996,43.5439881585
-4950,133.960699411,47.9097532586
-5000,136.508191383,43.5292131184
-5000,133.928895615,47.96444148
-5050,136.516783814,43.5144380022
-5050,133.896468305,48.0202018657
-5100,136.52537629,43.4996628097
-5100,133.864613241,48.0749782446
-4450,136.414008514,43.6911652816
-4450,134.44466533,47.0775496023
-4500,136.421762722,43.677831532
-4500,134.416069556,47.1267214679
-4550,136.429516959,43.6644977333
-4550,134.383477255,47.1827655646
-4600,136.437915074,43.6500567539
