x,d,y
72.8763391204,-6000,136.094151436
74.1988140954,-6000,135.657929405
73.1788011449,-6050,135.9943835
73.9079110539,-6050,135.753884578
89.7872576973,-5550,130.516038127
90.0312514983,-5550,130.435556096
89.665581999,-5600,130.556173193
90.0882237984,-5600,130.416763625
89.5410374491,-5650,130.597254557
90.1378624511,-5650,130.400390178
-3.15686127117,-3550,161.17391308
-2.68205368087,-3550,161.017296482
-3.03220303215,-3500,161.132794215
-2.77202245284,-3500,161.04697293
10.8714164639,-3800,156.546646832
11.8344022837,-3800,156.229003294
15.8452226687,-3800,154.906023086
17.6156654053,-3800,154.322037648
19.4179121184,-3800,153.72756158
21.9697997023,-3800,152.885814396
10.8398112187,-3750,156.55707191
11.8975581332,-3750,156.208171162
15.7214310953,-3750,154.946856079
17.6879987551,-3750,154.298178292
19.3944443761,-3750,153.73530248
23.2149840406,-3750,152.475086895
10.7787202663,-3650,156.57722293
23.4893471839,-3650,152.384587452
10.8086704981,-3700,156.567343763
17.7803694531,-3700,154.267709562
19.3687330756,-3700,153.743783424
23.3531150304,-3700,152.429524005
10.9034967371,-3850,156.536065065
11.7740590301,-3850,156.248907683
15.9741044739,-3850,154.863511066
17.546749432,-3850,154.344769773
19.4413792347,-3850,153.719820887
21.8240170545,-3850,152.933901206
10.9369761562,-3900,156.525021786
11.7132703071,-3900,156.268959012
16.0698926756,-3900,154.831915062
17.4890504201,-3900,154.363801951
19.4653874178,-3900,153.711901721
21.7480848299,-3900,152.95894766
44.4453875804,-5400,145.472179512
44.5759961909,-5450,145.4290979
41.5443252726,-5050,146.429102945
43.015124798,-5050,145.94395565
43.4836300602,-5050,145.789417892
41.8975872685,-5100,146.312578498
42.6470391041,-5100,146.065369735
43.7473122669,-5100,145.702441586
43.8649026923,-5150,145.663654059
43.9619785648,-5200,145.631633314
44.0529276219,-5250,145.601633515
44.1654483488,-5300,145.564518242
44.2945850492,-5350,145.521922144
40.5116114084,-4700,146.769746472
40.6033108554,-4750,146.739499156
40.6959461359,-4800,146.708943152
40.7913209384,-4850,146.67748351
40.9037632892,-4900,146.640394089
41.0439878321,-4950,146.594140635
41.2635434258,-5000,146.521719615
40.4130328285,-4650,146.80226289
-5.66820099361,-4550,162.00228544
40.1848020733,-4550,146.877545436
40.3099172237,-4600,146.836275858
-4.03001306801,-4350,161.461924617
39.3223143484,-4350,147.1620394
-4.12692931427,-4400,161.49389271
39.5675230491,-4400,147.081156631
-4.2444451952,-4450,161.532655648
39.8346096606,-4450,146.993057373
-4.47141471248,-4500,161.607522172
40.0333270743,-4500,146.927509884
-3.96117951461,-4300,161.439219679
39.1295605173,-4300,147.225619785
-3.8948742327,-4250,161.417348698
-1.98756634421,-4250,160.788217911
-0.559577692245,-4250,160.317191901
38.9675053385,-4250,147.279074134
1.87644432738,-4000,159.513663294
38.2668083591,-4000,147.510200973
1.66950491356,-4050,159.581922832
38.4026879665,-4050,147.465380708
-0.125640320203,-4100,160.174056457
38.5456892083,-4100,147.418211353
-3.78399180601,-4150,161.380773823
-2.09330435894,-4150,160.823095888
-0.297688369076,-4150,160.230806983
38.6888703979,-4150,147.370982641
-3.83518133692,-4200,161.397658832
-2.04564200461,-4200,160.807374329
